City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
644,Ataco,CO,79.86,overcast clouds,3.5915,-75.3818,Hotel y Restaurante El Ganadero
645,Vega De Alatorre,MX,79.68,scattered clouds,20.0333,-96.6333,El Polo Norte
646,Raypur,IN,82.36,scattered clouds,22.4108,88.5094,Greencloud the club
647,Marana,US,72.34,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
648,El Cope,PA,76.46,broken clouds,8.6167,-80.6,Hostal Buena Esperanza
651,Bitam,GA,79.38,broken clouds,2.076,11.5007,Bénédicta hôtel
652,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
653,Bundaberg,AU,77.22,light rain,-24.85,152.35,Takalvan Motel
655,Liwale,TZ,89.83,scattered clouds,-9.7667,37.9333,Samoma lodge
656,Peniche,PT,77.61,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
659,Inirida,CO,88.59,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
663,Ibipeba,BR,83.68,overcast clouds,-11.6408,-42.0111,Quitanda santos
666,Farafangana,MG,74.62,clear sky,-22.8167,47.8333,Miarina
673,Itamaraca,BR,86.68,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
677,Casa Grande,US,72.81,clear sky,32.8795,-111.7573,MainStay Suites Extended Stay Hotel Casa Grande
678,Palma Soriano,CU,83.26,broken clouds,20.2172,-75.9989,Mercedes Rooms
680,Matara,LK,78.89,clear sky,5.9485,80.5353,Amaloh Boutique Resort
685,Sambava,MG,77.14,light rain,-14.2667,50.1667,Melrose
691,Port-Gentil,GA,78.21,overcast clouds,-0.7193,8.7815,Fengshui Residence
692,Mbanza-Ngungu,CD,77.63,moderate rain,-5.25,14.8667,Hotel Full Business
695,Kirakira,SB,78.64,few clouds,-10.4544,161.9205,SanBiz Lodge
697,Morondava,MG,76.28,clear sky,-20.2833,44.2833,La Case Bambou
699,Saint-Pierre,RE,77.58,light rain,-21.3393,55.4781,Lindsey Hôtel
